user_id,item_id,actual_rating,predicted_rating,RMSE
1,1,5,4.0,1.0
1,2,3,5.0,2.0
1,4,3,4.0,1.0
1,7,4,5.0,1.0
1,8,1,4.0,3.0
1,9,5,3.0,2.0
1,11,2,4.0,2.0
1,12,5,5.0,0.0
1,13,5,4.0,1.0
1,14,5,3.0,2.0
1,15,5,3.0,2.0
1,16,5,4.0,1.0
1,19,5,4.0,1.0
1,22,4,4.0,0.0
1,23,4,3.0,1.0
1,24,3,4.0,1.0
1,25,4,2.0,2.0
1,27,2,4.0,2.0
1,28,4,4.0,0.0
1,31,3,4.0,1.0
1,38,3,3.0,0.0
1,41,2,4.0,2.0
1,42,5,5.0,0.0
1,45,5,4.0,1.0
1,48,5,5.0,0.0
1,50,5,4.0,1.0
1,51,4,1.0,3.0
1,52,4,3.0,1.0
1,53,3,3.0,0.0
1,54,3,4.0,1.0
1,55,5,5.0,0.0
1,56,4,5.0,1.0
1,58,4,3.0,1.0
1,60,5,1.0,4.0
1,61,4,1.0,3.0
1,62,3,2.0,1.0
1,64,5,4.0,1.0
1,66,4,4.0,0.0
1,67,3,4.0,1.0
1,68,4,4.0,0.0
1,69,3,4.0,1.0
1,70,3,4.0,1.0
1,71,3,4.0,1.0
1,72,4,2.0,2.0
1,73,3,3.0,0.0
1,76,4,4.0,0.0
1,77,4,3.0,1.0
1,79,4,4.0,0.0
1,80,4,2.0,2.0
1,82,5,3.0,2.0
1,83,3,3.0,0.0
1,86,5,4.0,1.0
1,88,4,3.0,1.0
1,89,5,4.0,1.0
1,92,3,5.0,2.0
1,94,2,2.0,0.0
1,95,4,5.0,1.0
1,96,5,3.0,2.0
1,97,3,3.0,0.0
1,98,4,5.0,1.0
1,99,3,3.0,0.0
1,100,5,4.0,1.0
1,102,2,3.0,1.0
1,109,5,4.0,1.0
1,111,5,4.0,1.0
1,116,3,5.0,2.0
1,117,3,4.0,1.0
1,118,3,2.0,1.0
1,121,4,3.0,1.0
1,122,3,1.0,2.0
1,124,5,4.0,1.0
1,125,3,4.0,1.0
1,126,2,4.0,2.0
1,127,5,4.0,1.0
1,129,5,2.0,3.0
1,132,4,3.0,1.0
1,133,4,5.0,1.0
1,134,4,3.0,1.0
1,135,4,3.0,1.0
1,136,3,4.0,1.0
1,137,5,5.0,0.0
1,139,3,1.0,2.0
1,143,1,3.0,2.0
1,150,5,4.0,1.0
1,151,4,4.0,0.0
1,152,5,2.0,3.0
1,153,3,4.0,1.0
1,154,5,5.0,0.0
1,156,4,4.0,0.0
1,161,4,4.0,0.0
1,162,4,3.0,1.0
1,163,4,4.0,0.0
1,164,3,4.0,1.0
1,168,5,3.0,2.0
1,170,5,4.0,1.0
1,171,5,4.0,1.0
1,172,5,4.0,1.0
1,173,5,4.0,1.0
1,174,5,4.0,1.0
1,176,5,4.0,1.0
1,177,5,4.0,1.0
1,179,3,4.0,1.0
1,180,3,4.0,1.0
1,181,5,4.0,1.0
1,182,4,5.0,1.0
1,183,5,4.0,1.0
1,184,4,5.0,1.0
1,185,4,3.0,1.0
1,186,4,3.0,1.0
1,187,4,4.0,0.0
1,188,3,4.0,1.0
1,191,5,4.0,1.0
1,193,4,4.0,0.0
1,194,4,4.0,0.0
1,195,5,4.0,1.0
1,196,5,4.0,1.0
1,197,5,4.0,1.0
1,198,5,5.0,0.0
1,199,4,4.0,0.0
1,200,3,4.0,1.0
1,201,3,3.0,0.0
1,202,5,3.0,2.0
1,203,4,3.0,1.0
1,204,5,3.0,2.0
1,205,3,5.0,2.0
1,207,5,4.0,1.0
1,208,5,5.0,0.0
1,210,4,4.0,0.0
1,211,3,3.0,0.0
1,212,4,2.0,2.0
1,213,2,4.0,2.0
1,215,3,5.0,2.0
1,216,5,3.0,2.0
1,217,3,3.0,0.0
1,218,3,4.0,1.0
1,219,1,4.0,3.0
1,221,5,4.0,1.0
1,222,4,4.0,0.0
1,223,5,5.0,0.0
1,224,5,4.0,1.0
1,226,3,4.0,1.0
1,227,4,1.0,3.0
1,228,5,3.0,2.0
1,229,4,2.0,2.0
1,230,4,2.0,2.0
1,231,1,2.0,1.0
1,232,3,4.0,1.0
1,233,2,5.0,3.0
1,234,4,3.0,1.0
1,237,2,3.0,1.0
1,238,4,4.0,0.0
1,239,4,5.0,1.0
1,240,3,1.0,2.0
1,242,5,4.0,1.0
1,243,1,5.0,4.0
1,245,2,2.0,0.0
1,248,4,4.0,0.0
1,249,4,2.0,2.0
1,251,4,5.0,1.0
1,257,4,4.0,0.0
1,258,5,2.0,3.0
1,259,1,2.0,1.0
1,265,4,3.0,1.0
1,269,5,4.0,1.0
1,271,2,2.0,0.0
2,1,4,3.0,1.0
2,10,2,3.0,1.0
2,13,4,3.0,1.0
2,14,4,5.0,1.0
2,25,4,2.0,2.0
2,50,5,4.0,1.0
2,100,5,4.0,1.0
2,111,4,4.0,0.0
2,127,5,4.0,1.0
2,237,4,3.0,1.0
2,257,4,3.0,1.0
2,258,3,5.0,2.0
2,272,5,4.0,1.0
2,273,4,2.0,2.0
2,276,4,4.0,0.0
2,280,3,2.0,1.0
2,281,3,3.0,0.0
2,282,4,3.0,1.0
2,284,4,2.0,2.0
2,286,4,4.0,0.0
2,288,3,4.0,1.0
2,289,3,5.0,2.0
2,290,3,3.0,0.0
2,295,4,2.0,2.0
2,298,3,3.0,0.0
2,301,4,5.0,1.0
2,313,5,2.0,3.0
3,181,4,4.0,0.0
3,258,2,4.0,2.0
3,294,2,3.0,1.0
3,300,2,4.0,2.0
3,326,2,4.0,2.0
3,339,3,4.0,1.0
4,50,5,5.0,0.0
