user_id,item_id,actual_rating,predicted_rating,RMSE
1,1,5,4.0,1.0
1,2,3,4.0,1.0
1,5,3,4.0,1.0
1,7,4,4.0,0.0
1,8,1,4.0,3.0
1,9,5,4.0,1.0
1,10,3,2.0,1.0
1,11,2,3.0,1.0
1,12,5,4.0,1.0
1,13,5,3.0,2.0
1,14,5,4.0,1.0
1,15,5,4.0,1.0
1,16,5,3.0,2.0
1,19,5,4.0,1.0
1,21,1,3.0,2.0
1,22,4,4.0,0.0
1,23,4,4.0,0.0
1,24,3,5.0,2.0
1,25,4,4.0,0.0
1,27,2,4.0,2.0
1,28,4,3.0,1.0
1,29,1,2.0,1.0
1,31,3,4.0,1.0
1,32,5,3.0,2.0
1,42,5,4.0,1.0
1,48,5,4.0,1.0
1,49,3,4.0,1.0
1,50,5,4.0,1.0
1,53,3,2.0,1.0
1,54,3,3.0,0.0
1,56,4,3.0,1.0
1,58,4,4.0,0.0
1,60,5,5.0,0.0
1,62,3,4.0,1.0
1,63,2,4.0,2.0
1,64,5,4.0,1.0
1,65,4,2.0,2.0
1,67,3,4.0,1.0
1,68,4,4.0,0.0
1,69,3,4.0,1.0
1,70,3,4.0,1.0
1,71,3,3.0,0.0
1,72,4,4.0,0.0
1,73,3,3.0,0.0
1,76,4,4.0,0.0
1,79,4,4.0,0.0
1,81,5,3.0,2.0
1,82,5,3.0,2.0
1,85,3,1.0,2.0
1,87,5,5.0,0.0
1,88,4,4.0,0.0
1,89,5,4.0,1.0
1,90,4,2.0,2.0
1,91,5,4.0,1.0
1,95,4,4.0,0.0
1,96,5,4.0,1.0
1,97,3,4.0,1.0
1,98,4,4.0,0.0
1,99,3,3.0,0.0
1,100,5,4.0,1.0
1,101,2,2.0,0.0
1,102,2,3.0,1.0
1,108,5,4.0,1.0
1,109,5,4.0,1.0
1,110,1,3.0,2.0
1,111,5,4.0,1.0
1,116,3,4.0,1.0
1,117,3,3.0,0.0
1,118,3,3.0,0.0
1,121,4,3.0,1.0
1,124,5,3.0,2.0
1,125,3,4.0,1.0
1,126,2,4.0,2.0
1,127,5,5.0,0.0
1,129,5,3.0,2.0
1,131,1,4.0,3.0
1,132,4,4.0,0.0
1,133,4,4.0,0.0
1,134,4,4.0,0.0
1,135,4,4.0,0.0
1,136,3,4.0,1.0
1,137,5,4.0,1.0
1,142,2,3.0,1.0
1,143,1,2.0,1.0
1,144,4,4.0,0.0
1,145,2,2.0,0.0
1,147,3,4.0,1.0
1,150,5,4.0,1.0
1,151,4,4.0,0.0
1,152,5,4.0,1.0
1,153,3,4.0,1.0
1,155,2,2.0,0.0
1,156,4,4.0,0.0
1,157,4,4.0,0.0
1,159,3,4.0,1.0
1,162,4,4.0,0.0
1,163,4,3.0,1.0
1,164,3,3.0,0.0
1,167,2,2.0,0.0
1,168,5,4.0,1.0
1,169,5,3.0,2.0
1,171,5,5.0,0.0
1,172,5,4.0,1.0
1,173,5,4.0,1.0
1,174,5,4.0,1.0
1,175,5,4.0,1.0
1,176,5,4.0,1.0
1,177,5,4.0,1.0
1,178,5,5.0,0.0
1,179,3,4.0,1.0
1,180,3,4.0,1.0
1,181,5,4.0,1.0
1,182,4,4.0,0.0
1,183,5,4.0,1.0
1,184,4,4.0,0.0
1,185,4,4.0,0.0
1,186,4,3.0,1.0
1,187,4,4.0,0.0
1,188,3,5.0,2.0
1,190,5,4.0,1.0
1,191,5,4.0,1.0
1,192,4,5.0,1.0
1,193,4,3.0,1.0
1,194,4,4.0,0.0
1,195,5,3.0,2.0
1,196,5,4.0,1.0
1,197,5,5.0,0.0
1,199,4,5.0,1.0
1,200,3,4.0,1.0
1,202,5,3.0,2.0
1,203,4,5.0,1.0
1,204,5,4.0,1.0
1,205,3,5.0,2.0
